201811 1 500-2690  1390 130042 1 12AKI2
201811 1 900-2760  1420 130032 1 12AKI2
201811 11800-2910  1490 130043 1 12AKI2
201811 21000-3230  1620 130043 1 12AKI2
201811 21800-3410  1710 130044 1 12AKI2
201811 3 500-3520  2010 130024 1 12AKI2
201811 41700-3390  2940 130023 1 12AKI2
201811 5 400-3300  3260 130023 1 12AKI2
201811 5 900-3270  3350 130013 1 12AKI2
201811 51700-3210  3510 130023 1 12AKI2
201811 71200-2870  4300 130053 1 12AKI2
201811 71600-2860  4310 130013 1 12AKI2
201811 81600-2700  4630 130013 1 12AKI2
201811 91600-2540  4930 130083 1 12AKI2
20181110 300-2470  5050 130013 1 12AKI2
201811101600-2380  5210 130013 1 12AKI2
201811111200-2180  5550 130013 1 12AKI2
201811111600-2140  5600 130013 1 12AKI2
201811122000-1980  5700 130013 1 12AKI2
20181113 300-1980  5710 130013 1 12AKI2
201811131600-1940  5840 130014 1 12AKI2
201811132000-1890  5970 130014 1 12AKI2
20181114 600-1750  6290 130014 1 12AKI2
201811141500-1630  6550 130014 1 12AKI2
201811141900-1580  6660 130014 1 12AKI2
20181115 200-1480  6860 130014 1 12AKI2
20181115 700-1420  6990 130014 1 12AKI2
201811151500-1310  7210 130014 1 12AKI2
20181116 200-1140  7540 130014 1 12AKI2
20181116 700-1070  7680 130014 1 12AKI2
201811161000-1020  7760 130014 1 12AKI2
201811161800 -870  7940 130013 1 12AKI2
20181117 600 -630  8190 130013 1 12AKI2
201811171400 -460  8360 130014 1 12AKI2
20181118 600 -100  8720 130013 1 12AKI2
201811181300   60  8890 130014 1 12AKI2
201811181700  150  8980 130014 1 12AKI2
20181119 500  410  9250 130014 1 12AKI2
20181123 400  850 10930 130000 1 12AKI2
20181123 800  840 10980 130024 1 12AKI2
201811231300  930 11090 130014 1 12AKI2
20181124 400 1310 11420 130014 1 12AKI2
20181124 700 1400 11510 130014 1 12AKI2
20181126 400 1790 11490 130024 1 12AKI2
20181127 400 1810 11470 130064 1 12AKI2
20181128 400 1800 11460 130064 1 12AKI2
20181129 400 1800 11460 130064 1 12AKI2
201811291600 1800 11580 130064 1 12AKI2
20181130 300 1810 11660 130024 1 12AKI2
201811 11100  130 10530 130023 1 12AKI3
